id,name,type,url,author_org_or_steward,category_or_domain,themes_tags,source_origin,source_detail,source_signal_count,expansion_status,review_status,public_use_status,suggested_toolkit_route,notes
E01249,X Article lead - 2014360356009697280,Article / social longform,http://x.com/i/article/2014360356009697280,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @Dionysus_Klima: https://t.co/3IdhyKlkIv
E01250,X Article lead - 2014399428317339648,Article / social longform,http://x.com/i/article/2014399428317339648,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @thetreegens: https://t.co/G84WEvHJ5I
E01251,X Article lead - 2014674094474604544,Article / social longform,http://x.com/i/article/2014674094474604544,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @davinci_vote: https://t.co/3zZdDChDvo
E01252,X Article lead - 2014784402606161920,Article / social longform,http://x.com/i/article/2014784402606161920,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @rish_neynar: https://t.co/8YgyNDFP44
E01253,X Article lead - 2015754191487053826,Article / social longform,http://x.com/i/article/2015754191487053826,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @nunet_global: https://t.co/0rmHT8jhAd
E01254,X Article lead - 2015826848869920778,Article / social longform,http://x.com/i/article/2015826848869920778,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/jto9ldp8cL
E01255,X Article lead - 2016534346568761344,Article / social longform,http://x.com/i/article/2016534346568761344,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @feemschats: https://t.co/jUQQEVqSN6
E01256,X Article lead - 2016558940742701057,Article / social longform,http://x.com/i/article/2016558940742701057,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @ECHInstitute: https://t.co/MuWkFIa0V7
E01257,X Article lead - 2016654428737327106,Article / social longform,http://x.com/i/article/2016654428737327106,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @RJPinnell: https://t.co/K1HBT7T052
E01258,X Article lead - 2016905482670129153,Article / social longform,http://x.com/i/article/2016905482670129153,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @myosin_xyz: https://t.co/78M0yz38oK
E01259,X Article lead - 2016925866463506432,Article / social longform,http://x.com/i/article/2016925866463506432,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @unhappyben: https://t.co/UgRLkiHjwc
E01260,X Article lead - 2017230079118458880,Article / social longform,http://x.com/i/article/2017230079118458880,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @shape: https://t.co/2GpEyebKMb
E01261,X Article lead - 2018164804976795648,Article / social longform,http://x.com/i/article/2018164804976795648,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @owocki: https://t.co/7R17YkEXWv
E01262,X Article lead - 2019035263582842880,Article / social longform,http://x.com/i/article/2019035263582842880,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @optimystics_: https://t.co/eMLPA89XAo
E01263,X Article lead - 2019117513318277121,Article / social longform,http://x.com/i/article/2019117513318277121,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @RJPinnell: https://t.co/Tbxn0OEDle
E01264,X Article lead - 2019783139376173056,Article / social longform,http://x.com/i/article/2019783139376173056,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @christine_dkim: https://t.co/eV9nX84OXe
E01265,X Article lead - 2021315943872204800,Article / social longform,http://x.com/i/article/2021315943872204800,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/5Fvhm7IEs3
E01266,X Article lead - 2021371601980182528,Article / social longform,http://x.com/i/article/2021371601980182528,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @art_tem_: https://t.co/xiqxQ8ikc6
E01267,X Article lead - 2021482969265750016,Article / social longform,http://x.com/i/article/2021482969265750016,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/VsTPjPoz5k
E01268,X Article lead - 2021944400302018560,Article / social longform,http://x.com/i/article/2021944400302018560,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @cryptoeconlab: https://t.co/hcfrTSnz8H
E01269,X Article lead - 2022345326816821249,Article / social longform,http://x.com/i/article/2022345326816821249,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/hRNUhk8YOm
E01270,X Article lead - 2022403585586401283,Article / social longform,http://x.com/i/article/2022403585586401283,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @theopenmachine: https://t.co/PE95dt7pZh
E01271,X Article lead - 2023139761049772033,Article / social longform,http://x.com/i/article/2023139761049772033,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @Gary_Weinstein_: https://t.co/WEkqSGDOrR
E01272,X Article lead - 2023822030626230272,Article / social longform,http://x.com/i/article/2023822030626230272,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @Crypto_Altruism: https://t.co/ub3AhQSKvl
E01273,X Article lead - 2024112050687836160,Article / social longform,http://x.com/i/article/2024112050687836160,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @JoinEdgeCity: https://t.co/PROBxeHeYY
E01274,X Article lead - 2024144031639306240,Article / social longform,http://x.com/i/article/2024144031639306240,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @0xy_moron: https://t.co/STpOJDqCLP
E01275,X Article lead - 2026322199666438144,Article / social longform,http://x.com/i/article/2026322199666438144,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @owocki: https://t.co/cb3w5U4eg5
E01276,X Article lead - 2026764089079508993,Article / social longform,http://x.com/i/article/2026764089079508993,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @azeemk: https://t.co/TEGatXnlW7
E01277,X Article lead - 2027074644574863360,Article / social longform,http://x.com/i/article/2027074644574863360,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @DisruptionJoe: https://t.co/R2OJ6QQR5H
E01278,X Article lead - 2027441986324860933,Article / social longform,http://x.com/i/article/2027441986324860933,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @RohitMalekar: https://t.co/57BvABdd8E
E01279,X Article lead - 2027468925378650112,Article / social longform,http://x.com/i/article/2027468925378650112,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @papa_raw: https://t.co/DPnQVj6dVb
E01280,X Article lead - 2028963410080350208,Article / social longform,http://x.com/i/article/2028963410080350208,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @HumnPassport: https://t.co/M0pn9UQBhT
E01281,X Article lead - 2029105405570289664,Article / social longform,http://x.com/i/article/2029105405570289664,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @Snapcrackle: https://t.co/r0KLqneV5V
E01282,X Article lead - 2029188774396149760,Article / social longform,http://x.com/i/article/2029188774396149760,,Raw Leads / To Review,"twitter, url-lead",Twitter/X social signal,Expanded URL in uploaded tweets.js,1,resource_registry_v0_2,raw,list with caveat,Resource Registry,Auto-extracted URL lead from Twitter archive. Context: RT @Molecule_sci: https://t.co/fGU65MfX7u
